distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.7214611870000001,67.0,0,0.0,14,30.07
0.4474885839999999,36.5,0,8.0,14,30.08
0.1735159819999999,36.5,0,7.0,14,30.09
0.100456621,36.5,0,0.0,14,30.04
0.374429224,36.5,0,0.0,14,30.02
0.6484018260000001,36.5,0,0.0,14,30.03
0.922374429,57.0,0,0.0,14,30.05
0.998473282,58.0,0,0.0,31,30.05
0.7236641220000001,62.0,0,0.0,31,30.02
0.448854962,65.0,0,5.0,31,30.04
0.174045802,63.0,0,5.0,31,30.06
0.100763359,64.0,0,3.0,31,30.0
0.375572519,36.5,0,11.0,31,29.97
0.650381679,36.5,0,11.0,31,29.98
0.92519084,43.0,0,0.0,31,30.0
1.001531394,67.0,0,5.0,29,30.01
0.7258805509999999,51.0,0,0.0,29,30.0
0.450229709,75.0,2,3.0,29,30.02
0.174578867,70.0,1,5.0,29,30.05
0.101071975,53.0,1,3.0,29,30.0
0.3767228179999999,36.5,1,7.0,29,29.96
0.65237366,43.0,0,13.0,29,29.99
0.928024502,58.0,0,0.0,29,30.02
1.006153846,56.0,0,3.0,29,30.03
0.7292307690000001,62.0,0,0.0,29,30.02
0.452307692,80.0,0,0.0,29,30.05
0.175384615,68.0,0,7.0,29,30.06
0.101538462,61.0,0,3.0,29,30.01
0.378461538,36.5,0,6.0,29,29.98
0.655384615,49.0,0,6.0,29,29.99
0.932307692,52.0,0,7.0,29,30.02
1.009259259,83.0,0,11.0,29,30.04
0.731481481,93.0,1,9.0,29,30.05
0.453703704,96.0,1,6.0,29,30.08
0.175925926,70.0,1,0.0,29,30.1
0.1018518519999999,59.0,1,14.0,29,30.05
0.37962963,78.0,1,15.0,29,30.03
0.657407407,93.0,1,17.0,29,30.08
0.935185185,93.0,1,15.0,29,30.13
1.013953488,93.0,1,8.0,29,30.16
0.734883721,93.0,3,0.0,29,30.15
0.455813953,90.0,4,6.0,29,30.19
0.176744186,87.0,4,3.0,29,30.2
0.102325581,78.0,3,17.0,29,30.17
0.381395349,78.0,3,15.0,29,30.14
0.660465116,93.0,3,15.0,29,30.16
